Part_idx,resume,contains_pic,time_text,time_pic
0.0,QUALIFIED_NOPIC_GOODSORT_EMILIA.PNG,0.0,28.86866000000001,0.0
0.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,30.528379999999995,1.47364
0.0,UNQUALIFIED_NOPIC_GOODSORT_KARE.PNG,0.0,10.050799999999995,0.0
0.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,10.409660000000002,0.0
0.0,UNQUALIFIED_NOPIC_ BADSORT_MARIA.PNG,0.0,4.769080000000001,0.0
0.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,21.615259999999996,1.7011800000000004
0.0,UNQUALIFIED_PIC_BADSORT_TIAN.PNG,1.0,11.724120000000003,0.6841
0.0,UNQUALIFIED_PIC_ BADSORT_LEILA.PNG,1.0,7.942420000000003,0.7373000000000001
0.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,17.068359999999984,2.46484
0.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,35.60993999999997,0.0
0.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,33.827619999999996,1.11182
0.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,24.349600000000002,0.0
1.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,7.898419999999999,0.26856
1.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,30.362359999999995,0.0
1.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,10.095679999999996,0.0
1.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,6.61818,0.34864
1.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,12.682599999999997,0.0
1.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,2.88088,0.0
1.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,8.092759999999998,0.0
1.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,5.063460000000002,0.0
1.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,15.21194,0.0
1.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,29.375919999999997,0.38868
1.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,25.160139999999995,1.4589599999999998
1.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,39.696319999999986,0.0
2.0,QUALIFIED_NOPIC_GOODSORT_EMILIA.PNG,0.0,38.59958000000001,0.0
2.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,50.80467999999999,0.0
2.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,29.705100000000016,0.0
2.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,22.218799999999998,0.0
2.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,20.94532,0.0
2.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,27.365239999999996,1.59568
2.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,31.16202000000001,0.0
2.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,56.82029999999999,0.0
2.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,46.957059999999956,0.71094
2.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,46.289000000000016,0.37500000000000006
2.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,46.46093999999998,0.0
2.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,52.984380000000016,0.0
3.0,QUALIFIED_NOPIC_GOODSORT_EMILIA.PNG,0.0,41.31710000000002,0.0
3.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,56.34915999999999,0.0
3.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,8.318879999999998,0.0
3.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,9.007580000000004,0.76374
3.0,UNQUALIFIED_NOPIC_ BADSORT_MARIA.PNG,0.0,4.35218,0.0
3.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,19.237860000000005,0.0
3.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,8.25178,0.0
3.0,UNQUALIFIED_PIC_ BADSORT_LEILA.PNG,1.0,8.760979999999998,0.0
3.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,49.859040000000014,0.38882
3.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,35.38023999999998,0.0
3.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,33.64018000000001,0.0
3.0,QUALIFIED_PIC_BADSORT_DAVID.PNG,1.0,30.66132000000002,4.7713
4.0,QUALIFIED_NOPIC_GOODSORT_EMILIA.PNG,0.0,37.22256000000002,0.0
4.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,43.019520000000014,0.0
4.0,UNQUALIFIED_NOPIC_GOODSORT_KARE.PNG,0.0,17.49217999999999,0.0
4.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,27.94343999999999,1.44728
4.0,UNQUALIFIED_NOPIC_ BADSORT_MARIA.PNG,0.0,22.525439999999993,0.0
4.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,29.730480000000007,3.1601399999999997
4.0,UNQUALIFIED_PIC_BADSORT_TIAN.PNG,1.0,28.904279999999993,2.2636600000000002
4.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,20.894480000000005,0.0
4.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,46.19716,1.17772
4.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,40.10149999999999,0.0
4.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,46.77338000000002,0.76368
4.0,QUALIFIED_PIC_BADSORT_DAVID.PNG,1.0,43.39265999999997,2.3047
5.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,30.960320000000003,0.54992
5.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,37.844399999999986,0.0
5.0,UNQUALIFIED_NOPIC_GOODSORT_KARE.PNG,0.0,12.432759999999998,0.0
5.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,38.54256,0.72332
5.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,14.364,0.844
5.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,32.91522,0.0
5.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,11.46738,0.0
5.0,UNQUALIFIED_PIC_ BADSORT_LEILA.PNG,1.0,12.52278,0.0
5.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,63.18087999999999,0.8035
5.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,39.192239999999984,0.0
5.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,48.70936,0.93782
5.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,42.390080000000005,0.0
6.0,QUALIFIED_NOPIC_GOODSORT_EMILIA.PNG,0.0,78.71002000000007,0.0
6.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,74.78754,0.0
6.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,24.043480000000002,0.0
6.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,48.31716,0.0
6.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,14.400160000000001,0.0
6.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,37.480559999999976,0.0
6.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,13.33034,0.0
6.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,4.6897,0.0
6.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,71.87678000000002,0.0
6.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,87.4049199999999,0.0
6.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,87.11789999999996,0.0
6.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,50.00662,0.0
7.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,50.5557,1.03126
7.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,38.86080000000002,0.64208
7.0,UNQUALIFIED_NOPIC_GOODSORT_KARE.PNG,0.0,12.599359999999999,0.0
7.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,41.83455999999998,0.66992
7.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,16.85913999999999,0.48242
7.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,22.06368,0.0
7.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,15.95196,0.0
7.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,38.25842000000001,0.0
7.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,34.275279999999995,0.0
7.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,39.573440000000005,0.0
7.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,34.61659999999998,0.0
7.0,QUALIFIED_PIC_BADSORT_DAVID.PNG,1.0,48.91595999999996,0.4956
8.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,52.370920000000034,1.3543
8.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,68.84845999999999,0.0
8.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,11.9227,0.18756
8.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,102.60275999999992,0.0
8.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,12.926299999999996,0.8980199999999999
8.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,23.646019999999993,0.0
8.0,UNQUALIFIED_PIC_BADSORT_TIAN.PNG,1.0,17.228719999999996,0.5498000000000001
8.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,9.723859999999998,0.0
8.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,79.39229999999995,1.1519000000000001
8.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,64.82602000000001,0.5484
8.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,50.13863999999999,0.0
8.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,71.46795999999993,0.0
9.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,95.51398000000006,2.0309
9.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,139.84695999999994,0.0
9.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,8.863019999999993,0.56324
9.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,68.48701999999997,0.0
9.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,25.981660000000016,0.60254
9.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,16.329859999999996,0.0
9.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,23.053979999999996,0.0
9.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,43.93900000000001,0.0
9.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,39.60276,0.0
9.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,73.67884000000006,1.1927599999999998
9.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,57.2443,0.30786
9.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,90.62069999999994,0.0
10.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,17.33518,0.0
10.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,38.24557999999997,0.72332
10.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,4.94284,0.0
10.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,5.21114,0.0
10.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,3.4662000000000006,0.0
10.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,10.525000000000002,0.0
10.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,9.164000000000007,0.0
10.0,UNQUALIFIED_PIC_ BADSORT_LEILA.PNG,1.0,6.30994,0.17376
10.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,27.462220000000016,0.0
10.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,20.32294,0.0
10.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,18.861759999999997,0.0
12.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,22.609640000000002,0.0
12.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,45.66797999999997,0.0
12.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,27.300380000000025,0.0
12.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,20.51076,0.88428
12.0,UNQUALIFIED_NOPIC_ BADSORT_MARIA.PNG,0.0,10.460760000000006,0.0
12.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,33.466960000000014,0.79054
12.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,19.434800000000003,0.0
12.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,17.640180000000004,0.0
12.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,41.41089999999997,0.0
12.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,26.968280000000007,0.64282
12.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,45.9308,0.0
12.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,70.85699999999996,0.0
